model,descriptor,pearson,spearman
LAION_CLAP,bright,0.2200861570170527,0.2349705196114057
MSCLAP,bright,-0.1543407753421575,-0.14390754133337
MuQ_MuLan,bright,0.4037406851125141,0.3843264993779083
OpenFLAM,bright,0.4077286232489098,0.3567404737188925
LAION_CLAP,clear,0.3452951854364621,0.3187275245247255
MSCLAP,clear,-0.2123084417010334,-0.1930135403224069
MuQ_MuLan,clear,-0.2718534108464351,-0.3024381231219851
OpenFLAM,clear,0.2655454690235834,0.1906864829791583
LAION_CLAP,coarse,-0.2489724957761045,-0.1943383018083475
MSCLAP,coarse,0.2246229127914853,0.1805608823986116
MuQ_MuLan,coarse,0.080700361703789,0.0723777292215875
OpenFLAM,coarse,-0.0801568243932191,-0.0260475203811705
LAION_CLAP,dim,0.1098824539986273,0.1271205503403596
MSCLAP,dim,0.3068939024352466,0.3126314013155257
MuQ_MuLan,dim,-0.1281408238741809,-0.1446799523428557
OpenFLAM,dim,-0.1705388891736628,-0.09099684079908
LAION_CLAP,dry,0.1522381774009789,0.1530689264793624
MSCLAP,dry,-0.0935286389803471,-0.1558991278156838
MuQ_MuLan,dry,0.0357043571532514,0.004734635880388
OpenFLAM,dry,-0.0057222390057831,0.0188856425619949
LAION_CLAP,harmonious,0.104535924287171,0.0905184388474586
MSCLAP,harmonious,0.114452874953933,0.0163953935394169
MuQ_MuLan,harmonious,0.0975469114161208,0.0694688690774974
OpenFLAM,harmonious,-0.1917547760436094,-0.1533233737766769
LAION_CLAP,hoarse,0.1758705043812258,0.1719619750069956
MSCLAP,hoarse,0.2553623592370754,0.2325704398256999
MuQ_MuLan,hoarse,0.1710885211648351,0.1021247343498411
OpenFLAM,hoarse,-0.0603515913657117,-0.1163248851385166
LAION_CLAP,plump,0.1607769640939487,0.1481608804937004
MSCLAP,plump,-0.0888136109315192,-0.04389560264493
MuQ_MuLan,plump,-0.1361694988258238,-0.1730438697038686
OpenFLAM,plump,-0.1999943099409615,-0.1922944713457415
LAION_CLAP,pure,0.0914902731175114,0.0985323293024069
MSCLAP,pure,-0.0396016197607016,-0.0157873860959573
MuQ_MuLan,pure,-0.1068823855625493,-0.0735158012508564
OpenFLAM,pure,0.0442691066887047,0.00973158807925
LAION_CLAP,sharp,0.2981302459743767,0.3325841509399257
MSCLAP,sharp,-0.1613754320757786,-0.1387926703994013
MuQ_MuLan,sharp,-0.1510278530030004,-0.1599989423865074
OpenFLAM,sharp,0.3208432446387165,0.2785901267533039
LAION_CLAP,slim,-0.0253859091771153,-0.0296174851034629
MSCLAP,slim,-0.1240302376165611,-0.1114093435186512
MuQ_MuLan,slim,0.4092507038180011,0.385794187655733
OpenFLAM,slim,0.2732944273421607,0.2283190771279456
LAION_CLAP,soft,0.206322829174693,0.2010607371841158
MSCLAP,soft,-0.1313017236073188,-0.112870170446602
MuQ_MuLan,soft,-0.0097086100638838,-0.0166646841765547
OpenFLAM,soft,0.0395019201664624,0.1223399433596284
LAION_CLAP,thick,-0.1851341549508481,-0.2024302218455436
MSCLAP,thick,0.2519306886257227,0.222395580107253
MuQ_MuLan,thick,-0.1407441820769978,-0.1955282900491116
OpenFLAM,thick,-0.2342791171352793,-0.182411975217578
LAION_CLAP,thin,-0.1457784269024763,-0.1841861711195019
MSCLAP,thin,-0.28933818430156,-0.2143329385389179
MuQ_MuLan,thin,0.1182956150430411,0.1978579945895353
OpenFLAM,thin,0.2608972712129219,0.2190929544472467
LAION_CLAP,turbid,0.2702230646189386,0.2538347671326135
MSCLAP,turbid,0.3776966651249482,0.3705701976518212
MuQ_MuLan,turbid,-0.0720027008647384,-0.0704273791283756
OpenFLAM,turbid,-0.0418596728056643,0.0374219832770002
LAION_CLAP,vigorous,0.3458427751698463,0.3424257273256623
MSCLAP,vigorous,0.1923193076077356,0.1613359612644888
MuQ_MuLan,vigorous,-0.4830407015088874,-0.4608427793732578
OpenFLAM,vigorous,-0.2943260459119253,-0.2498710863773405
