instrument,pearson,spearman
violin,-0.09133702773281625,-0.2542532180523133
viola,-0.2291687094106586,-0.33873379887470156
cello,-0.04876993219596912,-0.19440374544113306
double_bass,0.020566278067525656,0.044117647058823525
piccolo,0.19185236778039536,0.15294117647058825
flute,-0.13152324568035334,-0.18114894461560124
oboe,-0.07663758049352253,-0.08259622956817836
clarinet,-0.07558375625001676,0.016200312120094422
bassoon,-0.0343216529945734,-0.1486387451705782
saxophone,0.1309370968547641,0.07358353721315752
trumpet,0.08600804776783658,0.09117647058823529
trombone,-0.3056795250973207,-0.23139334365020084
horn,-0.14712403570613494,-0.20913130191394616
tuba,-0.09992040447957044,-0.05608894275087269
harp,0.2606613130262088,0.332597588203472
tubular_bells,0.17738971885120314,0.11782045178250487
bells,0.28780255612443006,0.3335816068867692
xylophone,0.26327510044814273,0.18543051377715697
vibraphone,0.2071592466634069,0.2958058195968932
marimba,-0.0344739028962427,-0.05173757344087771
piano,-0.04174857448841729,-0.09867462836784784
clavichord,0.36775387824706235,0.2823529411764706
accordion,-0.02587123980740425,0.02060339041968411
organ,-0.004984105067356959,-0.11176470588235293
