instrument,pearson,spearman
violin,-0.2886612787000248,-0.09164941580955478
viola,-0.1622763307823781,-0.0073637782364065546
cello,-0.08744122164514397,0.09572911707328521
double_bass,0.4991779300697461,0.4970588235294117
piccolo,-0.11667564682085713,-0.02941176470588235
flute,-0.3902285976425455,-0.4477177167735185
oboe,-0.2763788537253381,-0.085546094909899
clarinet,-0.3571107596415972,-0.28571459557257434
bassoon,0.41794278141685326,0.29874916108541955
saxophone,0.42387134200560833,0.17365714782305175
trumpet,0.05853768804886305,0.37941176470588234
trombone,0.2514047887605449,0.17096578256957515
horn,0.4529131204341969,0.2754053060416051
tuba,0.4697922074323486,0.45904371567161606
harp,-0.08336291857298367,0.013245036698368356
tubular_bells,0.2699733945250334,0.15758485425910027
bells,-0.22045961500457922,0.03985266984930429
xylophone,-0.27379200544610066,-0.04415012232789452
vibraphone,0.23576796620594617,0.33701260043626147
marimba,0.015449954698700539,0.08130190112137925
piano,-0.3024371507584956,-0.4270991377115802
clavichord,0.40769446289544925,0.3058823529411765
accordion,-0.06266125437125335,-0.1339220377279467
organ,0.3872572616832549,0.055882352941176466
