instrument,pearson,spearman
violin,-0.006450126007172083,-0.0325207604485517
viola,0.0044829883432994655,-0.014727556472813109
cello,0.04573068201300387,-0.001472755647281311
double_bass,-0.08244066312258802,0.14705882352941177
piccolo,-0.16777851644871122,-0.0411764705882353
flute,-0.05310398088210039,-0.020618579061938355
oboe,-0.007370428098873533,0.03244851875892721
clarinet,0.09951650970988438,0.21502232450307138
bassoon,-0.06336458275473006,-0.0014716707442631505
saxophone,0.07526001343767308,0.10890363507547314
trumpet,-0.38396403323761885,-0.5088235294117647
trombone,-0.15054442537232016,-0.0029476859063719855
horn,0.05790176524193277,0.15022107602269372
tuba,0.013702097526924611,0.14317440649564875
harp,0.15209097832272642,0.1898455260099464
tubular_bells,-0.13540215923801147,-0.3122241972236379
bells,-0.24365319520999135,-0.25240024237892716
xylophone,-0.043110804517253576,0.03973511009510507
vibraphone,0.2706480185447043,0.2590140509903145
marimba,-0.02687746165301161,-0.04582470790477739
piano,0.13674725671110605,0.11929320742978619
clavichord,-0.1753057791145246,-0.2735294117647059
accordion,-0.026483170438540857,-0.008830024465578904
organ,0.06413758936359398,-0.08529411764705883
