instrument,pearson,spearman
violin,0.12487664899641321,0.10051871411370525
viola,0.03235379727864526,0.08247431624775342
cello,0.06608748505663112,0.13991178649172453
double_bass,0.050994920851418594,0.09705882352941177
piccolo,-0.008143931596826637,-0.15
flute,-0.08077265000033802,-0.11782045178250487
oboe,-0.0935969779128589,-0.12094447901054688
clarinet,0.21348834035390835,0.1634758768482255
bassoon,0.04988939369497421,0.16482712335747288
saxophone,-0.16503837688654194,-0.11479031805252574
trumpet,0.18109509544654598,0.15882352941176472
trombone,0.24079668654716033,0.21518107116515492
horn,0.07642735843125344,0.10456565095697308
tuba,-0.12593595888865727,0.01476024809233492
harp,0.2214406496211336,0.07358353721315752
tubular_bells,0.10084878348374256,-0.019145823414657044
bells,0.045496331382439775,-0.18450310115418653
xylophone,0.0035916041066186982,-0.09860193986563108
vibraphone,0.3408415711675171,0.33554092969199834
marimba,0.3770995986330834,0.3015561423411158
piano,0.026489945861980058,0.08836533883687865
clavichord,-0.22192548277199192,-0.1264705882352941
accordion,0.06773811196533336,0.1103753058197363
organ,0.16145447724492115,0.15
