effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,guitar,guitar_EQ_bright_0.2.wav,bright,a bright sound,0.2,0.015719574,0.02690124,0.011181666
eq,guitar,guitar_EQ_bright_0.4.wav,bright,a bright sound,0.4,0.015719574,0.047502883,0.03178331
eq,guitar,guitar_EQ_bright_0.6.wav,bright,a bright sound,0.6,0.015719574,0.05903207,0.043312497
eq,guitar,guitar_EQ_bright_0.8.wav,bright,a bright sound,0.8,0.015719574,0.08487666,0.06915708
eq,guitar,guitar_EQ_bright_1.0.wav,bright,a bright sound,1.0,0.015719574,0.07864468,0.0629251
eq,guitar,guitar_EQ_calm_0.2.wav,calm,a calm sound,0.2,-0.089950964,-0.080081694,0.00986927
eq,guitar,guitar_EQ_calm_0.4.wav,calm,a calm sound,0.4,-0.089950964,-0.074319355,0.015631609
eq,guitar,guitar_EQ_calm_0.6.wav,calm,a calm sound,0.6,-0.089950964,-0.049876235,0.04007473
eq,guitar,guitar_EQ_calm_0.8.wav,calm,a calm sound,0.8,-0.089950964,-0.06249298,0.027457982
eq,guitar,guitar_EQ_calm_1.0.wav,calm,a calm sound,1.0,-0.089950964,-0.063879505,0.026071459
eq,guitar,guitar_EQ_clear_0.2.wav,clear,a clear sound,0.2,-0.082072765,-0.022095662,0.059977103
eq,guitar,guitar_EQ_clear_0.4.wav,clear,a clear sound,0.4,-0.082072765,-0.03281018,0.049262583
eq,guitar,guitar_EQ_clear_0.6.wav,clear,a clear sound,0.6,-0.082072765,-0.028371993,0.05370077
eq,guitar,guitar_EQ_clear_0.8.wav,clear,a clear sound,0.8,-0.082072765,-0.07121528,0.010857485
eq,guitar,guitar_EQ_clear_1.0.wav,clear,a clear sound,1.0,-0.082072765,-0.0119830705,0.0700897
eq,guitar,guitar_EQ_cold_0.2.wav,cold,a cold sound,0.2,-0.06428495,-0.08038681,-0.01610186
eq,guitar,guitar_EQ_cold_0.4.wav,cold,a cold sound,0.4,-0.06428495,-0.055083252,0.009201698
eq,guitar,guitar_EQ_cold_0.6.wav,cold,a cold sound,0.6,-0.06428495,-0.04548151,0.01880344
eq,guitar,guitar_EQ_cold_0.8.wav,cold,a cold sound,0.8,-0.06428495,-0.042869262,0.021415688
eq,guitar,guitar_EQ_cold_1.0.wav,cold,a cold sound,1.0,-0.06428495,-0.08062115,-0.016336203
eq,guitar,guitar_EQ_cool_0.2.wav,cool,a cool sound,0.2,0.012521096,0.016366728,0.003845632
eq,guitar,guitar_EQ_cool_0.4.wav,cool,a cool sound,0.4,0.012521096,0.01953056,0.0070094652
eq,guitar,guitar_EQ_cool_0.6.wav,cool,a cool sound,0.6,0.012521096,0.04223308,0.029711984
eq,guitar,guitar_EQ_cool_0.8.wav,cool,a cool sound,0.8,0.012521096,0.031536743,0.019015647
eq,guitar,guitar_EQ_cool_1.0.wav,cool,a cool sound,1.0,0.012521096,0.055517185,0.04299609
eq,guitar,guitar_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,-0.0842569,-0.053304538,0.030952364
eq,guitar,guitar_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,-0.0842569,-0.06883024,0.015426666
eq,guitar,guitar_EQ_crisp_0.6.wav,crisp,a crisp sound,0.6,-0.0842569,-0.039856117,0.044400785
eq,guitar,guitar_EQ_crisp_0.8.wav,crisp,a crisp sound,0.8,-0.0842569,-0.049268715,0.034988187
eq,guitar,guitar_EQ_crisp_1.0.wav,crisp,a crisp sound,1.0,-0.0842569,0.003985949,0.08824285
eq,guitar,guitar_EQ_dark_0.2.wav,dark,a dark sound,0.2,0.016066115,0.028440202,0.012374086
eq,guitar,guitar_EQ_dark_0.4.wav,dark,a dark sound,0.4,0.016066115,0.03641611,0.020349994
eq,guitar,guitar_EQ_dark_0.6.wav,dark,a dark sound,0.6,0.016066115,0.042421773,0.026355658
eq,guitar,guitar_EQ_dark_0.8.wav,dark,a dark sound,0.8,0.016066115,0.027209565,0.01114345
eq,guitar,guitar_EQ_dark_1.0.wav,dark,a dark sound,1.0,0.016066115,0.044407688,0.028341573
eq,guitar,guitar_EQ_gentle_0.2.wav,gentle,a gentle sound,0.2,-0.049489282,-0.00730847,0.042180814
eq,guitar,guitar_EQ_gentle_0.4.wav,gentle,a gentle sound,0.4,-0.049489282,-0.028176015,0.021313267
eq,guitar,guitar_EQ_gentle_0.6.wav,gentle,a gentle sound,0.6,-0.049489282,-0.010427112,0.039062172
eq,guitar,guitar_EQ_gentle_0.8.wav,gentle,a gentle sound,0.8,-0.049489282,-0.023450525,0.026038757
eq,guitar,guitar_EQ_gentle_1.0.wav,gentle,a gentle sound,1.0,-0.049489282,-0.010590281,0.038899
eq,guitar,guitar_EQ_hard_0.2.wav,hard,a hard sound,0.2,-0.025680495,-0.006660044,0.019020451
eq,guitar,guitar_EQ_hard_0.4.wav,hard,a hard sound,0.4,-0.025680495,-0.0089315735,0.016748922
eq,guitar,guitar_EQ_hard_0.6.wav,hard,a hard sound,0.6,-0.025680495,0.023246258,0.048926756
eq,guitar,guitar_EQ_hard_0.8.wav,hard,a hard sound,0.8,-0.025680495,0.034326497,0.06000699
eq,guitar,guitar_EQ_hard_1.0.wav,hard,a hard sound,1.0,-0.025680495,-0.00974052,0.015939975
eq,guitar,guitar_EQ_harsh_0.2.wav,harsh,a harsh sound,0.2,-0.028450157,-0.030692616,-0.002242459
eq,guitar,guitar_EQ_harsh_0.4.wav,harsh,a harsh sound,0.4,-0.028450157,-0.043770038,-0.01531988
eq,guitar,guitar_EQ_harsh_0.6.wav,harsh,a harsh sound,0.6,-0.028450157,-0.03554407,-0.007093914
eq,guitar,guitar_EQ_harsh_0.8.wav,harsh,a harsh sound,0.8,-0.028450157,-0.05660303,-0.028152872
eq,guitar,guitar_EQ_harsh_1.0.wav,harsh,a harsh sound,1.0,-0.028450157,-0.053291366,-0.024841208
eq,guitar,guitar_EQ_heavy_0.2.wav,heavy,a heavy sound,0.2,0.020813938,0.035229266,0.014415327
eq,guitar,guitar_EQ_heavy_0.4.wav,heavy,a heavy sound,0.4,0.020813938,0.030661972,0.009848034
eq,guitar,guitar_EQ_heavy_0.6.wav,heavy,a heavy sound,0.6,0.020813938,0.024922298,0.00410836
eq,guitar,guitar_EQ_heavy_0.8.wav,heavy,a heavy sound,0.8,0.020813938,0.05670408,0.035890143
eq,guitar,guitar_EQ_heavy_1.0.wav,heavy,a heavy sound,1.0,0.020813938,0.035603557,0.014789619
eq,guitar,guitar_EQ_loud_0.2.wav,loud,a loud sound,0.2,-0.027390836,-0.04939843,-0.022007594
eq,guitar,guitar_EQ_loud_0.4.wav,loud,a loud sound,0.4,-0.027390836,-0.05413381,-0.026742974
eq,guitar,guitar_EQ_loud_0.6.wav,loud,a loud sound,0.6,-0.027390836,-0.04896664,-0.021575803
eq,guitar,guitar_EQ_loud_0.8.wav,loud,a loud sound,0.8,-0.027390836,-0.028583203,-0.0011923667
eq,guitar,guitar_EQ_loud_1.0.wav,loud,a loud sound,1.0,-0.027390836,-0.0062148217,0.021176014
eq,guitar,guitar_EQ_mellow_0.2.wav,mellow,a mellow sound,0.2,-0.03180766,0.0365029,0.06831056
eq,guitar,guitar_EQ_mellow_0.4.wav,mellow,a mellow sound,0.4,-0.03180766,0.026077515,0.057885177
eq,guitar,guitar_EQ_mellow_0.6.wav,mellow,a mellow sound,0.6,-0.03180766,0.05508413,0.08689179
eq,guitar,guitar_EQ_mellow_0.8.wav,mellow,a mellow sound,0.8,-0.03180766,-0.0066527557,0.025154905
eq,guitar,guitar_EQ_mellow_1.0.wav,mellow,a mellow sound,1.0,-0.03180766,0.01596823,0.04777589
eq,guitar,guitar_EQ_peaceful_0.2.wav,peaceful,a peaceful sound,0.2,-0.057709016,0.0035349857,0.061244003
eq,guitar,guitar_EQ_peaceful_0.4.wav,peaceful,a peaceful sound,0.4,-0.057709016,0.03227416,0.08998318
eq,guitar,guitar_EQ_peaceful_0.6.wav,peaceful,a peaceful sound,0.6,-0.057709016,0.012653161,0.07036218
eq,guitar,guitar_EQ_peaceful_0.8.wav,peaceful,a peaceful sound,0.8,-0.057709016,0.020755261,0.07846428
eq,guitar,guitar_EQ_peaceful_1.0.wav,peaceful,a peaceful sound,1.0,-0.057709016,0.033364248,0.09107326
eq,guitar,guitar_EQ_sharp_0.2.wav,sharp,a sharp sound,0.2,-0.0099922065,0.02433047,0.03432268
eq,guitar,guitar_EQ_sharp_0.4.wav,sharp,a sharp sound,0.4,-0.0099922065,0.019014664,0.02900687
eq,guitar,guitar_EQ_sharp_0.6.wav,sharp,a sharp sound,0.6,-0.0099922065,0.0046312716,0.014623478
eq,guitar,guitar_EQ_sharp_0.8.wav,sharp,a sharp sound,0.8,-0.0099922065,0.014698222,0.024690429
eq,guitar,guitar_EQ_sharp_1.0.wav,sharp,a sharp sound,1.0,-0.0099922065,0.02424736,0.034239568
eq,guitar,guitar_EQ_smooth_0.2.wav,smooth,a smooth sound,0.2,-0.024831753,0.05327972,0.07811147
