effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,guitar,guitar_EQ_bright_0.2.wav,bright,a bright sound,0.2,0.069792464,0.08945225,0.019659787
eq,guitar,guitar_EQ_bright_0.4.wav,bright,a bright sound,0.4,0.069792464,0.1253182,0.055525735
eq,guitar,guitar_EQ_bright_0.6.wav,bright,a bright sound,0.6,0.069792464,0.11719225,0.04739979
eq,guitar,guitar_EQ_bright_0.8.wav,bright,a bright sound,0.8,0.069792464,0.13225289,0.062460423
eq,guitar,guitar_EQ_bright_1.0.wav,bright,a bright sound,1.0,0.069792464,0.12690605,0.057113588
eq,guitar,guitar_EQ_calm_0.2.wav,calm,a calm sound,0.2,0.0643419,0.08578722,0.021445319
eq,guitar,guitar_EQ_calm_0.4.wav,calm,a calm sound,0.4,0.0643419,0.12643073,0.062088832
eq,guitar,guitar_EQ_calm_0.6.wav,calm,a calm sound,0.6,0.0643419,0.121370964,0.05702906
eq,guitar,guitar_EQ_calm_0.8.wav,calm,a calm sound,0.8,0.0643419,0.12713552,0.06279361
eq,guitar,guitar_EQ_calm_1.0.wav,calm,a calm sound,1.0,0.0643419,0.12115493,0.056813024
eq,guitar,guitar_EQ_clear_0.2.wav,clear,a clear sound,0.2,0.0937158,0.15010014,0.05638434
eq,guitar,guitar_EQ_clear_0.4.wav,clear,a clear sound,0.4,0.0937158,0.15610494,0.062389135
eq,guitar,guitar_EQ_clear_0.6.wav,clear,a clear sound,0.6,0.0937158,0.18789062,0.09417482
eq,guitar,guitar_EQ_clear_0.8.wav,clear,a clear sound,0.8,0.0937158,0.15331933,0.059603527
eq,guitar,guitar_EQ_clear_1.0.wav,clear,a clear sound,1.0,0.0937158,0.14447205,0.050756246
eq,guitar,guitar_EQ_cold_0.2.wav,cold,a cold sound,0.2,-0.012192849,-0.03952511,-0.027332261
eq,guitar,guitar_EQ_cold_0.4.wav,cold,a cold sound,0.4,-0.012192849,-0.033335395,-0.021142546
eq,guitar,guitar_EQ_cold_0.6.wav,cold,a cold sound,0.6,-0.012192849,-0.029942509,-0.01774966
eq,guitar,guitar_EQ_cold_0.8.wav,cold,a cold sound,0.8,-0.012192849,-0.036335938,-0.024143089
eq,guitar,guitar_EQ_cold_1.0.wav,cold,a cold sound,1.0,-0.012192849,-0.01932045,-0.0071276017
eq,guitar,guitar_EQ_cool_0.2.wav,cool,a cool sound,0.2,0.1455454,0.18384042,0.03829503
eq,guitar,guitar_EQ_cool_0.4.wav,cool,a cool sound,0.4,0.1455454,0.13862821,-0.0069171786
eq,guitar,guitar_EQ_cool_0.6.wav,cool,a cool sound,0.6,0.1455454,0.18886149,0.043316096
eq,guitar,guitar_EQ_cool_0.8.wav,cool,a cool sound,0.8,0.1455454,0.16192666,0.016381264
eq,guitar,guitar_EQ_cool_1.0.wav,cool,a cool sound,1.0,0.1455454,0.17602608,0.030480683
eq,guitar,guitar_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,0.0649139,0.08928857,0.024374671
eq,guitar,guitar_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,0.0649139,0.09662952,0.031715624
