effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,guitar,guitar_EQ_bright_0.2.wav,bright,a bright sound,0.2,0.22775441,0.2263113,-0.0014431179
eq,guitar,guitar_EQ_bright_0.4.wav,bright,a bright sound,0.4,0.22775441,0.23033307,0.0025786608
eq,guitar,guitar_EQ_bright_0.6.wav,bright,a bright sound,0.6,0.22775441,0.23495325,0.0071988404
eq,guitar,guitar_EQ_bright_0.8.wav,bright,a bright sound,0.8,0.22775441,0.23925701,0.011502594
eq,guitar,guitar_EQ_bright_1.0.wav,bright,a bright sound,1.0,0.22775441,0.2416153,0.013860881
eq,guitar,guitar_EQ_calm_0.2.wav,calm,a calm sound,0.2,0.17273656,0.16495472,-0.0077818334
eq,guitar,guitar_EQ_calm_0.4.wav,calm,a calm sound,0.4,0.17273656,0.16710275,-0.005633801
eq,guitar,guitar_EQ_calm_0.6.wav,calm,a calm sound,0.6,0.17273656,0.16447398,-0.008262575
eq,guitar,guitar_EQ_calm_0.8.wav,calm,a calm sound,0.8,0.17273656,0.16050965,-0.012226909
eq,guitar,guitar_EQ_calm_1.0.wav,calm,a calm sound,1.0,0.17273656,0.15824857,-0.014487982
eq,guitar,guitar_EQ_clear_0.2.wav,clear,a clear sound,0.2,0.22425207,0.20580028,-0.018451795
eq,guitar,guitar_EQ_clear_0.4.wav,clear,a clear sound,0.4,0.22425207,0.19918808,-0.025063992
eq,guitar,guitar_EQ_clear_0.6.wav,clear,a clear sound,0.6,0.22425207,0.207769,-0.016483068
eq,guitar,guitar_EQ_clear_0.8.wav,clear,a clear sound,0.8,0.22425207,0.20979138,-0.014460698
eq,guitar,guitar_EQ_clear_1.0.wav,clear,a clear sound,1.0,0.22425207,0.21018213,-0.014069945
eq,guitar,guitar_EQ_cold_0.2.wav,cold,a cold sound,0.2,0.18413478,0.18347237,-0.0006624162
eq,guitar,guitar_EQ_cold_0.4.wav,cold,a cold sound,0.4,0.18413478,0.18866934,0.0045345575
eq,guitar,guitar_EQ_cold_0.6.wav,cold,a cold sound,0.6,0.18413478,0.19377345,0.009638667
eq,guitar,guitar_EQ_cold_0.8.wav,cold,a cold sound,0.8,0.18413478,0.19702244,0.012887657
eq,guitar,guitar_EQ_cold_1.0.wav,cold,a cold sound,1.0,0.18413478,0.20036238,0.016227603
eq,guitar,guitar_EQ_cool_0.2.wav,cool,a cool sound,0.2,0.0065211654,-0.010460233,-0.016981399
eq,guitar,guitar_EQ_cool_0.4.wav,cool,a cool sound,0.4,0.0065211654,-0.008358438,-0.014879603
eq,guitar,guitar_EQ_cool_0.6.wav,cool,a cool sound,0.6,0.0065211654,-0.010777308,-0.017298473
eq,guitar,guitar_EQ_cool_0.8.wav,cool,a cool sound,0.8,0.0065211654,-0.0046332106,-0.011154376
eq,guitar,guitar_EQ_cool_1.0.wav,cool,a cool sound,1.0,0.0065211654,-0.0042241346,-0.0107453
eq,guitar,guitar_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,0.121715724,0.113621384,-0.008094341
eq,guitar,guitar_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,0.121715724,0.1260306,0.0043148696
eq,guitar,guitar_EQ_crisp_0.6.wav,crisp,a crisp sound,0.6,0.121715724,0.12606446,0.00434874
eq,guitar,guitar_EQ_crisp_0.8.wav,crisp,a crisp sound,0.8,0.121715724,0.14101563,0.01929991
eq,guitar,guitar_EQ_crisp_1.0.wav,crisp,a crisp sound,1.0,0.121715724,0.14583433,0.024118602
eq,guitar,guitar_EQ_dark_0.2.wav,dark,a dark sound,0.2,0.16990249,0.16541179,-0.0044907033
eq,guitar,guitar_EQ_dark_0.4.wav,dark,a dark sound,0.4,0.16990249,0.16623147,-0.0036710203
eq,guitar,guitar_EQ_dark_0.6.wav,dark,a dark sound,0.6,0.16990249,0.16779463,-0.0021078587
eq,guitar,guitar_EQ_dark_0.8.wav,dark,a dark sound,0.8,0.16990249,0.1671088,-0.0027936846
eq,guitar,guitar_EQ_dark_1.0.wav,dark,a dark sound,1.0,0.16990249,0.1702806,0.00037811697
eq,guitar,guitar_EQ_gentle_0.2.wav,gentle,a gentle sound,0.2,0.3462348,0.3492142,0.0029793978
eq,guitar,guitar_EQ_gentle_0.4.wav,gentle,a gentle sound,0.4,0.3462348,0.34580815,-0.00042665005
eq,guitar,guitar_EQ_gentle_0.6.wav,gentle,a gentle sound,0.6,0.3462348,0.34351578,-0.0027190149
eq,guitar,guitar_EQ_gentle_0.8.wav,gentle,a gentle sound,0.8,0.3462348,0.33927044,-0.0069643557
eq,guitar,guitar_EQ_gentle_1.0.wav,gentle,a gentle sound,1.0,0.3462348,0.3361898,-0.010044992
eq,guitar,guitar_EQ_hard_0.2.wav,hard,a hard sound,0.2,0.0926414,0.07480645,-0.017834947
eq,guitar,guitar_EQ_hard_0.4.wav,hard,a hard sound,0.4,0.0926414,0.06557768,-0.02706372
eq,guitar,guitar_EQ_hard_0.6.wav,hard,a hard sound,0.6,0.0926414,0.064962804,-0.027678594
eq,guitar,guitar_EQ_hard_0.8.wav,hard,a hard sound,0.8,0.0926414,0.06594965,-0.02669175
eq,guitar,guitar_EQ_hard_1.0.wav,hard,a hard sound,1.0,0.0926414,0.07013571,-0.022505686
eq,guitar,guitar_EQ_harsh_0.2.wav,harsh,a harsh sound,0.2,0.22193606,0.23658583,0.014649764
eq,guitar,guitar_EQ_harsh_0.4.wav,harsh,a harsh sound,0.4,0.22193606,0.23857048,0.01663442
eq,guitar,guitar_EQ_harsh_0.6.wav,harsh,a harsh sound,0.6,0.22193606,0.23832688,0.016390815
eq,guitar,guitar_EQ_harsh_0.8.wav,harsh,a harsh sound,0.8,0.22193606,0.23972204,0.017785981
eq,guitar,guitar_EQ_harsh_1.0.wav,harsh,a harsh sound,1.0,0.22193606,0.24302587,0.021089807
eq,guitar,guitar_EQ_heavy_0.2.wav,heavy,a heavy sound,0.2,0.04007978,0.021131335,-0.018948445
eq,guitar,guitar_EQ_heavy_0.4.wav,heavy,a heavy sound,0.4,0.04007978,0.017196028,-0.022883752
eq,guitar,guitar_EQ_heavy_0.6.wav,heavy,a heavy sound,0.6,0.04007978,0.01392038,-0.0261594
eq,guitar,guitar_EQ_heavy_0.8.wav,heavy,a heavy sound,0.8,0.04007978,0.0075531676,-0.032526612
eq,guitar,guitar_EQ_heavy_1.0.wav,heavy,a heavy sound,1.0,0.04007978,0.004861854,-0.035217926
eq,guitar,guitar_EQ_loud_0.2.wav,loud,a loud sound,0.2,0.16181833,0.14084446,-0.020973861
eq,guitar,guitar_EQ_loud_0.4.wav,loud,a loud sound,0.4,0.16181833,0.14050555,-0.021312773
eq,guitar,guitar_EQ_loud_0.6.wav,loud,a loud sound,0.6,0.16181833,0.14091185,-0.020906478
eq,guitar,guitar_EQ_loud_0.8.wav,loud,a loud sound,0.8,0.16181833,0.15064994,-0.0111683905
eq,guitar,guitar_EQ_loud_1.0.wav,loud,a loud sound,1.0,0.16181833,0.17785022,0.016031891
eq,guitar,guitar_EQ_mellow_0.2.wav,mellow,a mellow sound,0.2,0.3007434,0.28706834,-0.013675064
eq,guitar,guitar_EQ_mellow_0.4.wav,mellow,a mellow sound,0.4,0.3007434,0.29116923,-0.009574175
eq,guitar,guitar_EQ_mellow_0.6.wav,mellow,a mellow sound,0.6,0.3007434,0.29531798,-0.0054254234
eq,guitar,guitar_EQ_mellow_0.8.wav,mellow,a mellow sound,0.8,0.3007434,0.3016826,0.0009391904
eq,guitar,guitar_EQ_mellow_1.0.wav,mellow,a mellow sound,1.0,0.3007434,0.30012137,-0.0006220341
eq,guitar,guitar_EQ_peaceful_0.2.wav,peaceful,a peaceful sound,0.2,0.21388572,0.20473349,-0.009152234
eq,guitar,guitar_EQ_peaceful_0.4.wav,peaceful,a peaceful sound,0.4,0.21388572,0.20626308,-0.0076226443
eq,guitar,guitar_EQ_peaceful_0.6.wav,peaceful,a peaceful sound,0.6,0.21388572,0.20878188,-0.0051038414
eq,guitar,guitar_EQ_peaceful_0.8.wav,peaceful,a peaceful sound,0.8,0.21388572,0.20883754,-0.0050481856
eq,guitar,guitar_EQ_peaceful_1.0.wav,peaceful,a peaceful sound,1.0,0.21388572,0.2044721,-0.00941363
eq,guitar,guitar_EQ_sharp_0.2.wav,sharp,a sharp sound,0.2,0.1652264,0.14267802,-0.022548378
eq,guitar,guitar_EQ_sharp_0.4.wav,sharp,a sharp sound,0.4,0.1652264,0.14390525,-0.021321148
eq,guitar,guitar_EQ_sharp_0.6.wav,sharp,a sharp sound,0.6,0.1652264,0.14600463,-0.019221768
eq,guitar,guitar_EQ_sharp_0.8.wav,sharp,a sharp sound,0.8,0.1652264,0.149364,-0.015862405
eq,guitar,guitar_EQ_sharp_1.0.wav,sharp,a sharp sound,1.0,0.1652264,0.15175873,-0.0134676695
eq,guitar,guitar_EQ_smooth_0.2.wav,smooth,a smooth sound,0.2,0.2701676,0.26030865,-0.009858936
eq,guitar,guitar_EQ_smooth_0.4.wav,smooth,a smooth sound,0.4,0.2701676,0.26177448,-0.008393109
eq,guitar,guitar_EQ_smooth_0.6.wav,smooth,a smooth sound,0.6,0.2701676,0.260624,-0.009543598
